ds,yhat,yhat_lower,yhat_upper
2019-01-11,-3194886.586114887,-26822406.852673147,21823160.687920548
2019-01-12,-6725904.40044505,-31195038.872538112,18773437.394604765
2019-01-13,-8410907.210415566,-33663554.1659579,17719807.830524694
2019-01-14,-11085994.41425392,-37146256.511368856,16047211.357786722
2019-01-15,-14069376.119243398,-41038236.52064962,14036088.744732311
2019-01-16,-16951482.76622775,-44868672.736136556,11777560.976223946
2019-01-17,-19990481.306679726,-48541069.400582954,9518818.974131782
2019-01-18,-21772347.64185194,-51177132.26978889,8491038.90988857
2019-01-19,-27000168.047293484,-57397617.18209119,4016605.9260272393
2019-01-20,-30121465.555740736,-61600195.68042258,1611953.7434285379
2019-01-21,-33925954.28323696,-66244152.65566989,-1297235.1410867893
2019-01-22,-37690690.21540448,-70654876.66866164,-4225551.913926216
2019-01-23,-40971383.606068775,-74746924.85502516,-6666074.4741943935
2019-01-24,-43998994.426261134,-79003323.9490102,-8673897.28021524
2019-01-25,-45340729.599993974,-81555441.51593284,-9240479.902716748
2019-01-26,-49690087.085328236,-86738068.70465134,-12711715.341012152
2019-01-27,-51494719.21885221,-89848011.37909444,-13795580.479668533
2019-01-28,-53554499.566288576,-93102344.97104155,-15103972.389612585
2019-01-29,-55166748.45547745,-95587254.89221095,-15890111.888062475
2019-01-30,-55917374.85627459,-97416406.45340386,-15520268.802966472
2019-01-31,-56077054.714982,-98687142.41974215,-14669043.859803488
2019-02-01,-54261569.45016834,-98222457.00502546,-11823538.454257777
2019-02-02,-55220960.91971755,-100198888.7135264,-11744332.560729073
2019-02-03,-53466292.61889197,-99282288.80070251,-8853923.735381681
2019-02-04,-51866424.43359101,-98907122.84694213,-6370610.686745
2019-02-05,-49791784.43473481,-97707192.54335496,-3589412.25637731
2019-02-06,-46903928.26172539,-95767251.23480977,229053.0403572877
2019-02-07,-43550042.87503349,-93247630.35043271,4625730.924244098
2019-02-08,-38421557.95159852,-89583813.36952984,10580066.078778073
2019-02-09,-36341562.711706035,-88928444.7792602,13711177.678788118
2019-02-10,-31889860.284523994,-85274159.89283179,19289222.833849173
2019-02-11,-27998109.073009945,-82195313.35211766,23626079.421046205
2019-02-12,-24092075.444890782,-79635273.41413683,28767389.494413286
2019-02-13,-19879826.779543594,-76634878.5792978,34483379.57902685
2019-02-14,-15745056.762018304,-73489052.4538051,39988855.55010401
2019-02-15,-10404737.004902225,-69070043.25854479,46222001.52892737
2019-02-16,-8695818.459059991,-68908522.52153301,48941879.02624195
2019-02-17,-5199834.555801269,-66317812.38461554,53639048.783370815
2019-02-18,-2837868.981843479,-64878364.18076807,57072097.268785805
2019-02-19,-1012919.0652991906,-64319988.01422318,59626719.185795434
2019-02-20,601516.5560578778,-64230225.23982542,61893287.011555314
2019-02-21,1667441.5022304654,-64382773.33406725,63604425.77149829
2019-02-22,3523776.690374799,-63440698.342624806,66264819.735200234
2019-02-23,1398484.2870075256,-66681505.7517312,65356445.828581534
2019-02-24,782575.6214150786,-68374447.92769463,65963797.71018729
2019-02-25,-1166427.4168451875,-71372249.51215318,65414059.562801175
2019-02-26,-3768571.417706497,-75119215.10025123,64114760.5329922
2019-02-27,-6611878.832456365,-79098068.18034194,62240073.473078825
2019-02-28,-9948224.727131262,-83125447.34606448,59873380.932759754
2019-03-01,-12353817.628159843,-86104257.59314927,58414589.23713481
